番号,単語,発音記号,品詞,意味,補足,例文,例文訳
4478,diabetic,/ˌdaɪəˈbetɪk/,形容詞、名詞,【形】糖尿病の【名】糖尿病患者,血糖値のコントロールが難しくなる「糖尿病（diabetes）」に関する医学用語です。,,
4479,incendiary,/ɪnˈsendieri/,形容詞、名詞,【形】放火の、発火性の、扇動的な【名】放火魔、焼夷弾,爆発物などの「発火性の（incendiary bomb = 焼夷弾）」のほか、人々の怒りに火をつける「扇動的な、過激な」スピーチや文書を指します。,,
4480,vernacular,/vərˈnækjələr/,名詞、形容詞,【名】日常語、俗語、現地語、地方独自の建築【形】日常の、現地の,外国語や標準的な文語ではなく、特定の地域の人々が日常会話で当たり前に使っている「その土地ならではの日常語・方言」を指します。,,
4481,adjacent,/əˈdʒeɪsnt/,形容詞,隣接する、隣り合った、近くの,隣り合っている部屋（adjacent room）や、境界線を共有しているすぐ隣の土地・建物を指す少し硬い地理・不動産用語です。,,
4482,nominal,/ˈnɑːmɪnl/,形容詞,名目上の、ごくわずかな、名詞の,肩書きだけで実権のない「名目上のリーダー」のほか、金額がタダ同然でごくわずかであることを指します（nominal fee = 名目だけのわずかな手数料）。,,
4483,opaque,/oʊˈpeɪk/,形容詞、名詞,【形】不透明な、分かりにくい、くすんだ【名】不透明体,ガラスなどが光を全く通さず向こうが見えない「不透明な」状態を指すほか、企業の意思決定プロセスや取引内容が怪しくて「不透明である」ことを意味します（opaque process）。,,
4484,scrupulous,/ˈskruːpjələs/,形容詞,几帳面な、細心の注意を払った、良心的な、誠実な,ルールや道徳に従って寸分の抜け漏れもなく几帳面に物事を行う様子（scrupulous attention to detail）や、嘘をつかない「良心的な・誠実な」態度を指します。,,
4485,crappy,/ˈkræpi/,形容詞,最低の、くだらない、質の悪い,shitty や lousy と同様に、サービスや製品、あるいは体調や天気が「最悪である・クソみたいな」状態を非難するカジュアルなスラングです。,,
4486,drench,/drentʃ/,動詞、名詞,【動】ずぶ濡れにする、びしょ濡れにする【名】ずぶ濡れ、浸液,土砂降りの雨などに降られて、衣類や髪の毛が水をたっぷり吸って重くなるほど「びしょ濡れになる」ことを意味します（be drenched to the skin）。,,
4487,overstate,/ˌoʊvərˈsteɪt/,動詞,誇張する、大げさに言う,事実を誇張する（exaggerateにほぼ同様）ことを意味し、ビジネスなどでの業績や影響力を「実態より大げさにアピールする」際によく使われます。対義語は understate。,,
4488,insidious,/ɪnˈsɪdiəs/,形容詞,陰険な、潜伏性の、知らないうちに進行する、悪辣な,急激にではなく、本人が全く気づかないうちに裏でジワジワと進行し、気づいた時には深刻なダメージを与えている病気や害悪を指します（insidious disease）。,,
4489,lush,/lʌʃ/,形容詞、名詞、動詞,【形】（草木が）青々と生い茂った、豊かな、豪華な【名】大酒飲み【動】酒を飲む,雨の多い森のように、植物が水分を含んでみずみずしく、こんもりと「青々と生い茂っている」美しい様子を表します（lush green forest）。,,
4490,condone,/kənˈdoʊn/,動詞,容認する、許す、黙認する,悪い行為やルール違反に対して、厳しく罰せず、大目に見て「見て見ぬふりをする（黙認する）」ことを意味します（We do not condone violence = 暴力を一切容認しない）。,,
4491,arid,/ˈærɪd/,形容詞,乾燥した、不毛な、砂漠の、退屈な,年間降水量が極端に少なく、砂漠のようにカラカラに「乾燥して草木が育ちにくい」気候や土地を指します（arid climate = 乾燥気候）。,,
4492,deft,/deft/,形容詞,器用な、巧みな、すばやい,手先や体の動き、あるいは問題への対応が、無駄なく「器用で、洗練されて素早い」様子を称賛する言葉です（deft handling of the situation = 巧みな対処）。,,
4493,nimble,/ˈnɪmbl/,形容詞,素早い、俊敏な、身軽な、（頭の回転が）速い,体が軽々とすばしっこく動く「俊敏な（nimble fingers = 器用な指先）」様子や、頭の回転が非常にはやい様子を指します。,,
4494,auditory,/ˈɔːdɪtɔːri/,形容詞,聴覚の、耳の,視覚（visual）や触覚（tactile）に対して、音を感知する「耳・聴覚に関連する」医学・認知用語です（auditory cortex = 聴覚野）。,,
4495,accrue,/əˈkruː/,動詞,（利息などが）生じる、蓄積する、増える,時間の経過とともに、銀行の利息、マイル、あるいは利益・権利などが「自然にジワジワと発生して積み重なる」ことを意味するビジネス・金融用語です。,,
4496,dearly,/ˈdɪrli/,副詞,心から、痛切に、（代償が）極めて高く,「心から深く愛している（love someone dearly）」という意味のほか、失敗によって「極めて高い代償を払わされる（pay dearly for the mistake）」という際にも使われます。,,
4497,ostensibly,/ɑːˈstensəbli/,副詞,表向きは、うわべは,建前や表向きはそう発表・表示されているが、実際の本心や裏の事情は全く別である、というニュアンスを含めて説明する際に便利な副詞です（apparentlyに同様）。,,
4498,incompatible,/ˌɪnkəmˈpætəbl/,形容詞,相容れない、両立しない、互換性のない,意見や性格が衝突してどうしても「両立しない」関係を指すほか、IT分野でソフトウェアがOSと合わず起動しない「互換性がない」状態を指します。,,
4499,obsessive,/əbˈsesɪv/,形容詞、名詞,【形】取り憑かれたような、過剰な、脅迫的な【名】執念深い人,特定のこだわり、清潔さ、あるいは人物に対して、異常なほど執着し、自分をコントロールできなくなっている様子を指します（obsessive behavior）。,,
4500,prodigious,/prəˈdɪdʒəs/,形容詞,巨大な、並外れた、驚異的な,才能、量、金額、あるいは胃袋のキャパシティなどが、通常の基準をはるかに超越して「驚異的に大きい」ことを称賛する少し格調高い言葉です（prodigious talent）。,,
4501,fickle,/ˈfɪkl/,形容詞,気まぐれな、移り気な、変わりやすい,意見や好みがコロコロと変わり、信用しにくい人の気質や、変わりやすい山の天候などを指します（fickle weather）。,,
4502,inscribe,/ɪnˈskraɪb/,動詞,（文字などを）刻む、記す、登録する,石碑やプレゼントの指輪などの表面に、記念の文字や名前を「クッキリと刻み込む・書き入れる」ことを意味します（inscribe names）。,,
4503,canny,/ˈkæni/,形容詞,抜け目のない、慎重な、賢い、うまい,主にビジネスや金銭的な判断において、騙されることなく自分に有利にやりくりする、非常に「抜け目のない、賢明な」様子を指します。,,
4504,deplete,/dɪˈpliːt/,動詞,使い果たす、激減させる、枯渇させる,資源、資金、貯蓄、あるいはエネルギーを、消費によって底をつく寸前まで「激減させる、枯渇させる」ことを意味します。,,
4505,charred,/tʃɑːrd/,形容詞,黒焦げになった、炭化した,動詞 char（炭化させる）の過去分詞形容詞。火災の後の木材や、焼きすぎて真っ黒になったお肉などを指して「黒焦げの」と表現します。,,
4506,disparate,/ˈdɪspərət/,形容詞、名詞,【形】全く異なる、異質の、共通点のない【名】異質のもの,単に違う（different）というだけでなく、性質があまりにもかけ離れていて、比較のしようがない「本質的に異質な」複数の要素を指します（disparate groups）。,,
4507,hideous,/ˈhɪdiəs/,形容詞,恐ろしく醜い、ゾッとするような、ひどく嫌な,容姿や建物のデザインが極めて「醜い」ことや、凄惨な事件などを聞いて「ゾッとするような・おぞましい」不快感を強く抱く状況を表します（hideous crime）。,,
4508,irate,/aɪˈreɪt/,形容詞,激怒した、怒り狂った,企業のひどい不手際などに対して、頭から湯気を立てて烈火のごとく「激怒している」顧客や人々を指すのに使われる言葉です（irate customer）。,,
4509,capitulate,/kəˈpɪtʃuleɪt/,動詞,降伏する、条件付きで降伏する、屈する,敵軍や強い交渉圧力に対して、これ以上抗うことができずに最終的に「降伏して降参する」ことを意味する、外交・歴史などの硬い言葉です。,,
4510,cull,/cull/ -> /kʌl/,動詞、名詞,【動】（数を減らすために）間引く、選び集める、処分する【名】間引き、淘汰,野生動物の過剰繁殖を防ぐために特定の数を公的に駆除・「間引く」ことや、散らばった資料から必要なものだけを「選び抜いてまとめる」ことを指します。,,
4511,speculative,/ˈspeculative/ -> /ˈspekjələtɪv/,形容詞,投機的な、不確かな、思索的な、推測に基づく,確たる証拠なしにあれこれ考える「推測に基づく」のほか、短期的な一攫千金を狙うハイリスクな株式・不動産投資を「投機的な（speculative investment）」と呼びます。,,
4512,vet,/vet/,動詞、名詞,【動】（適性などを）厳しく審査する、調査する、治療する【名】獣医、退役軍人（veteranの略）,雇用する前に、身元や経歴、過去の不祥事がないかを「厳密に審査する」ことを指す重要なビジネス口語です（fully vetted candidate）。また、獣医（veterinarian）の略でもあります。,,
4513,frigid,/ˈfrɪdʒɪd/,形容詞,極寒の、ひどく冷たい、冷淡な、性的に不感症の,北極のように凍りつくような「極寒の」気候を指す（frigid weather）ほか、人間関係での「ひどく冷ややかな」態度を指します。,,
4514,flounder,/ˈflaʊndər/,動詞、名詞,【動】（泥沼などで）もがく、まごつく、混迷する【名】もがき、かれ（魚の一種）,深い泥や雪に足をとられてもがく動作のほか、ビジネスや経済が方向性を見失って泥沼の中で「混迷する、もたつく」様子を表します。,,
4515,leisurely,/ˈliːʒərli/,形容詞、副詞,【形】のんびりした、急がない【副】のんびりと、急がずに,時間に追われることなく、リラックスして楽しむ「のんびりとした」動作を表します（leisurely stroll = のんびりとした散歩）。,,
4516,affiliated,/əˈfɪlieɪtɪd/,形容詞,提携している、系列の、加入している,親会社やメインの団体と正式にパートナー契約を結び、ぶら下がっている「提携会社・系列グループ」を指します（affiliated company）。,,
4517,gild,/gild/ -> /ɡɪld/,動詞、名詞,【動】金メッキする、金箔を貼る、うわべを飾る【名】（中世の）ギルド、同業者組合,物体の表面に本物の金を薄く「金メッキする」こと。また、比喩的に余計な美辞麗句を並べて「うわべを飾り立てる」こと（gild the lily）にも使われます。同業者組合「ギルド」と同じ発音です。,,
4518,contemplative,/kənˈtemplətɪv/,形容詞,瞑想的な、沈思黙考する、物思いにふける,静かに深く考えをめぐらせている状態や気質を指します。動詞は contemplate（深く考える）。,,
4519,dissipate,/ˈdɪsɪpeɪt/,動詞,（煙や雲が）消散する、散らす、浪費する,霧やタバコの煙が空気中にふわっと「消えてなくなる」こと、あるいは財産やエネルギーをくだらないことに「無駄に使い果たす・浪費する」ことを意味します。,,
4520,hasten,/ˈheɪsn/,動詞,急がせる、早める、急いで行く,手続きや回復を「スピードアップさせて早める（hasten recovery）」ことや、目的地に向かって急いで移動することを意味します。,,
4521,amidst,/əˈmɪdst/,前置詞,〜の最中に、〜の渦中に、〜に囲まれて,混乱や騒ぎなどの「真っ最中に・渦中に（amidst chaos）」、あるいは何かに囲まれて位置する状態を表す少し古風・文語的な前置詞です。,,
4522,trinity,/ˈtrɪnəti/,名詞,三位一体、3つからなるもの,キリスト教の「三位一体」を指す宗教用語のほか、3つの異なる要素が完璧に調和して1つにまとまっている状態を意味します。,,
4523,infringe,/ɪnˈfrɪndʒ/,動詞,侵害する、違反する,他人の権利、特許、プライバシーを不当に侵す（infringe on someone's rights）こと、または法律に違反することを意味します。,,
4524,wrath,/ræθ/,名詞、動詞,【名】激怒、憤怒、神の怒り【動】怒る,anger より激しく、かつ厳かで神聖な「激しい怒り、憤怒」を表現する格調高い言葉です（wrath of God = 神の怒り）。,,
4525,dazzling,/ˈdæzlɪŋ/,形容詞,目をくらませるような、まばゆい、極めて素晴らしい,強い太陽光で目が眩む（dazzle）ほど明るい光のほか、並外れた美貌、あるいは見事な才能に圧倒される様子を称賛します（dazzling smile）。,,
4526,ghastly,/ˈɡæstli/,形容詞、副詞,【形】恐ろしい、青ざめた、ぞっとするような、ひどく不快な【副】恐ろしく,凄惨な事件現場などの「背筋が凍るほどおぞましい」様子や、事故を知って顔が「真っ青にこわばっている」外見、最悪な天気・経験を表現します（ghastly accident）。,,
4527,intimately,/ˈɪntəmətli/,副詞,親密に、詳細に、緊密に、個人的に,人間関係が極めて親しく深い様子のほか、特定のビジネスや分野の中身について「知り尽くしている・熟知している」ことを意味します（be intimately acquainted with...）。,,
4528,genteel,/dʒenˈtiːl/,形容詞,育ちが良い、上品な、洗練された、気気取った,上流階級のように、話し方や立ち振る舞いが優雅で「上品・洗練されている」様子を指しますが、時に「上品ぶって気取っている」と揶揄するニュアンスも持ちます。,,
4529,addictive,/əˈdɪktɪv/,形容詞、名詞,【形】中毒性の、やみつきになる【名】依存性の物質,アルコールやギャンブルなどの「依存症を誘発する・やみつきになる」性質を指し、ポテトチップスなどを「ついつい何度もやってしまう」カジュアルなやみつきにも使われます。,,
4530,rabid,/ˈræbɪd/,形容詞,狂犬病にかかった、猛烈な、過激な、狂信的な,狂犬病（rabies）にかかって狂暴化している犬を指すほか、特定の主義やファンとしての熱量が常軌を逸して「過激・狂信的である」様子を表します（rabid fan）。,,
4531,clinch,/klɪntʃ/,動詞、名詞,【動】（勝利や取引を）決定づける、確実にする、ボクシングでクリンチする【名】クリンチ、決定打,最終決戦で勝利を掴み取ること（clinch the title）や、長引いた交渉でついに「取引を成立・確定させる（clinch the deal）」ことを意味します。,,
4532,malign,/məˈlaɪn/,動詞、形容詞,【動】悪口を言う、中傷する【形】悪意のある、有害な,他人の名誉を傷つけるために、事実無根の「悪口・中傷を公然と言いふらす」行為を指します（speak ill of の硬い表現）。,,
4533,quintessential,/ˌkwɪntɪˈsenʃl/,形容詞,典型的な、神髄を示す、代表的な,あるジャンルや文化の特徴を完璧に体現している「これぞ、最も代表的な・典型例である」という事物を称賛する表現です（quintessential English cottage = 典型的な英国コテージ）。,,
4534,loot,/luːt/,動詞、名詞,【動】（暴動などの混乱に乗じて）略奪する、盗む【名】略奪品、盗品、戦利品,戦争や大規模な暴動、自然災害のパニックに乗じて、無人になった商店から商品を力ずくで「強奪・略奪する」犯罪行為を指します。,,
4535,martian,/ˈmɑːrʃn/,名詞、形容詞,【名】火星人【形】火星の、火星人の,火星（Mars）の住人、あるいは火星に関する事物。通常は頭文字を大文字にして Martian と表記します。,,
4536,womb,/wuːm/,名詞,子宮、発生の地,女性やメス動物の「子宮（uterusに同様、より日常的）」を指す言葉です。発音の b は黙字で読まないため注意。,,
4537,acquit,/əˈkwɪt/,動詞,無罪を言い渡す、放免する、（責務を）果たす,裁判で、被告人が無実であると公式に「無罪判決を下す（acquit of the charges）」ことを意味します。名詞形は acquittal。,,
4538,fret,/fret/,動詞、名詞,【動】思い悩む、やきもきする、いらいらする、すり減る【名】いらいら、焦り、フレット（ギターの指板にある突起）,自分でどうにもできない小さな心配事について、クヨクヨと「やきもき・思い悩む」動作を指します（Don't fret about it = 気に病むな）。,,
4539,fervent,/ˈfervent/ -> /ˈfɜːrvənt/,形容詞,熱烈な、強烈な、パッションあふれる,特定の信念、平和への願い、あるいはファンとしての熱意が、非常に真剣で「熱烈である」様子を指します（fervent hope = 切なる願い）。,,
4540,touchy,/ˈtʌtʃi/,形容詞,怒りっぽい、神経質な、（テーマなどが）デリケートで扱いが難しい,些細なことでパッと腹を立てる「ピリピリして怒りっぽい」人の性格のほか、気軽に触れてはいけない「非常にデリケートで扱いが難しいテーマ」を指します（touchy subject）。,,
4541,humiliating,/hjuːˈmɪlieɪtɪŋ/,形容詞,屈辱的な、恥をかかせるような,動詞 humiliate（恥をかかせる）の現在分詞形容詞。人前で大失敗したり惨めな負け方をして、ひどく「プライドを傷つけられ屈辱的である」様子を表します（humiliating defeat = 屈辱的な敗北）。,,
4542,lavish,/ˈlævɪʃ/,形容詞、動詞,【形】豪華な、贅沢な、気前の良い【動】惜しみなく与える,お金を湯水のように使った「超豪華な」パーティーや（lavish lifestyle）、他人に賛辞や贈り物を「惜しみなくたっぷりと与える（lavish praise on...）」行為を指します。,,
4543,disposable,/dɪˈspoʊzəbl/,形容詞、名詞,【形】使い捨ての、自由に使える【名】使い捨て製品,1回きりで捨てる「使い捨てカメラ（disposable camera）」や「使い捨てコップ」のほか、自由に使えるお金を「可処分所得（disposable income）」と呼びます。,,
4544,grope,/ɡroʊp/,動詞、名詞,【動】手探りする、暗中模索する、痴漢行為をする【名】手探り、痴漢行為,暗闇の中で壁や物を「手探りする」動作のほか、他人の体を不当に触る「痴漢（性的嫌がらせ）」の意味でも使われます。,,
4545,collegiate,/kəˈliːdʒiət/,形容詞、名詞,【形】大学（生）の、大学風の【名】大学生,大学や大学生に関連する事物を表す形容詞です（collegiate sports = 大学スポーツ）。,,
4546,insatiable,/ɪnˈseɪʃəbl/,形容詞,飽くなき、貪欲な、満たされない,知識、富、あるいは食欲などへの欲求が強すぎて、いくら与えられても決して満足しない様子を指します（insatiable appetite）。,,
4547,err,/ɜːr/,動詞,過ちを犯す、間違える、それる,動詞 error の語源にあたる古典的な言葉。To err is human.（過ちを犯すのは人間）という有名な格言でお馴染みです。,,
4548,motley,/ˈmɑːtli/,形容詞、名詞,【形】雑多な、寄せ集めの、斑（まだら）の【名】まだらの衣服、寄せ集め,共通点のない異質な人々や物が集まっている「寄せ集めの」様子を少し皮肉を込めて表現します（motley crew）。,,
4549,noteworthy,/ˈnoʊtwɜːrði/,形容詞,注目に値する、顕著な、価値ある,非常に重要、あるいはユニークで「メモを取る（note）に値する（worthy）」興味深い事象を指します（noteworthy achievement）。,,
4550,lunge,/lʌndʒ/,動詞、名詞,【動】急に突進する、飛びかかる【名】突進、突き、ランジ（筋トレ）,攻撃や獲物を捕らえるために、体を前方にクッと「急激に投げ出す・突進する」動作を指します（lunge forward）。,,
4551,brutally,/ˈbruːtəli/,副詞,野蛮に、容赦なく、冷酷に、痛烈に,暴力の残酷さを指すほか、会話では「お世辞抜きで耳の痛い真実を率直に言う」ことを brutally honest と呼びます。,,
4552,detonate,/ˈdetəneɪt/,動詞,爆発させる、点火する、爆発する,ダイナマイトや爆弾などの火薬を「急激に爆破・点火させる」ことを意味する専門的な動詞です。名詞形は detonation。,,
4553,raucous,/ˈrɔːkəs/,形容詞,騒々しい、騒がしい、（声が）ハスキーな・耳障りな,居酒屋などの客が酔っ払って大声で「ガヤガヤと騒がしく騒いでいる」騒々しい様子や、ダミ声を指します（raucous crowd）。,,
4554,mortify,/ˈmɔːrtɪfaɪ/,動詞,屈辱を感じさせる、ひどく恥をかかせる、（肉欲などを）抑制する,人前でひどい恥をかかされ、穴があったら入りたいほど「強烈な屈辱やきまずさを感じさせる」ことを意味します（feel mortified）。,,
4555,infest,/ɪnˈfest/,動詞,（害虫・害獣が）はびこる、横行する、大挙して出没する,シロアリ、ネズミ、ゴキブリ、あるいは泥棒などの不快な存在が、特定の場所に「大量に発生してはびこる」ことを意味します（be infested with rats）。,,
4556,tuberculosis,/tuːˌbɜːrkjəˈloʊsɪs/,名詞,結核,結核菌によって主に肺が侵される、かつて死病と恐れられた感染症「結核」を指す正式な医学用語です（通称 TB）。,,
4557,coronary,/ˈcɔːrəneri/,形容詞、名詞,【形】冠状（動脈）の【名】冠状動脈、心臓発作,心臓を覆う重要な血管「冠状動脈」に関する医学用語です。冠状動脈疾患（coronary artery disease）などで頻出します。,,
4558,exacerbate,/ɪɡˈzæsərbeɪt/,動詞,悪化させる、さらに怒らせる、こじらせる,すでに悪い状態（病気の症状、人間関係、あるいは問題など）を、さらに深刻にして「悪化させる」ことを意味する高度な単語です。,,
4559,horribly,/ˈhɔːrəbli/,副詞,恐ろしく、ひどく、ものすごく,形容詞 horrible の副詞形。結果や状況が極めて悪くて不快な様子や、程度が「恐ろしく・もの凄く」激しいことを強調します。,,
4560,momentarily,/ˌmoʊmənˈterəli/,副詞,一時的に、ほんの一瞬、まもなく（米）,「ほんの一瞬だけ」という意味のほか、アメリカ英語の口語では「まもなく、すぐに（soon）」という意味でもよく使われます。,,
4561,loom,/luːm/,動詞、名詞,【動】ぼんやり現れる、迫り来る【名】織機、織り機,霧の中から、巨大な建物や危機が、ぬうっと「不気味にぼんやり現れて迫り来る」様子を指します（The deadline is looming = 締め切りが迫っている）。,,
4562,nibble,/ˈnɪbl/,動詞、名詞,【動】（少しずつ）かじる、一口かじる【名】ひとかじり、少量のおつまみ,リスやウサギが食べ物をちびちびと「少しずつかじる」動作を表します。,,
4563,verification,/ˌverɪfɪˈkeɪʃn/,名詞,検証、証明、実証、確認,データや身元、仮説が間違いなく正しいかどうかを「裏付け・検証する」プロセスを指します（2-step verification = 2段階認証）。,,
4564,deserving,/dɪˈzɜːrvɪŋ/,形容詞,価値がある、〜に値する、報われるべき,動詞 deserve（値する）の現在分詞形容詞。支援や高い評価を受けるだけの「資格・価値がある」状態を指します。,,
4565,impromptu,/ɪmˈprɑːmptuː/,形容詞、副詞、名詞,【形】即興の、準備なしの【副】即興で【名】即興曲,事前の準備や練習を全く行わず、その場のノリや流れで急遽実施するスピーチや演奏などを指します（impromptu speech）。,,
4566,insofar,/ˌɪnsoʊˈfɑːr/,副詞,（insofar as で）〜する限りにおいて、〜の範囲では,接続詞的に insofar as... の形で、「～する限りでは、～の範囲においては」という条件や限界を示す際に使われる硬い表現です。,,
4567,ooze,/uːz/,動詞、名詞,【動】にじみ出る、したたる、じわじわ漂わせる【名】にじみ出ること、ドロ、粘土,血液や膿がにじみ出る動作のほか、人物が自信などを「じわじわと体中から漂わせる（ooze confidence）」という比喩表現にもよく使われます。,,
4568,ballistic,/bəˈlɪstɪk/,形容詞,弾道の、弾道学の,投射物が重力に従って飛ぶ性質を指し、「弾道ミサイル（ballistic missile）」でお馴染みです。,,
4569,greasy,/ˈɡriːsi/,形容詞,油っこい、ぎとぎとした、お世辞たらたらの,ポテトなどの「油っぽい食べ物（greasy food）」を指すほか、態度がうさんくさく「お世辞たらたら・調子が良い」人物を非難します。,,
4570,engulf,/ɪnˈɡʌlf/,動詞,飲み込む、巻き込む、包み込む,巨大な波、大火災、あるいは戦争や不安が、対象を丸ごとすっぽりと「飲み込む、包み込んで壊滅させる」ことを意味します（engulfed in flames）。,,
4571,ceremonial,/ˌserɪˈmoʊniəl/,形容詞、名詞,【形】儀式（用）の、儀式的な、公式の【名】儀式、礼法,名詞 ceremony の形容詞形。実用ではなく、公式な式典や伝統的な形式のために用いられる事物や服を指します。,,
4572,prodigy,/ˈprɑːdədʒi/,名詞,神童、天才児、驚異的なもの,幼い頃からモーツァルトのように並外れた芸術や数学の才能を発揮する子供を「神童（child prodigy）」と呼びます。,,
4573,provisional,/prəˈvɪʒənl/,形容詞、名詞,【形】仮の、暫定的な、条件付きの【名】仮の取り決め,正式な決定が下されるまでのあいだ、とりあえず一時的に設ける「暫定的な」計画や予算などを指します（provisional license = 仮免許）。,,
4574,extremist,/ɪkˈstriːmɪst/,名詞、形容詞,【名】過激派、極端主義者【形】過激な,思想や宗教において、自らの極端な理念を押し通すために、時にテロや暴力すら辞さない「過激な活動家・極端主義者」を指します。,,
4575,wee,/wee/ -> /wiː/,形容詞、名詞、動詞,【形】極めて小さい、ちっちゃな、ちびちびした【名】おしっこ【動】おしっこをする,スコットランド英語などで very small の口語として好まれる、ちっちゃくて可愛いものを指す言葉です（a wee bit = ほんのちょっぴり）。,,
4576,worthy,/ˈwɜːrði/,形容詞、名詞,【形】〜に値する、ふさわしい、尊敬すべき【名】著名人、立派な人,ある評価や報酬を受けるだけの十分な価値がある状態を指します（worthy cause = 支援に値する価値ある活動）。,,
4577,aggregate,/ˈæɡrɪɡət/,名詞、形容詞、動詞,【名】総計、集合体、骨材【形】総計の、集まった【動】集める、総計する,バラバラのデータを1つにまとめて集計した「総計・集計データ（aggregate data）」を指す、データ分析や経済学の重要用語です。,,
4578,nightly,/ˈnaɪtli/,形容詞、副詞,【形】夜ごとの、毎夜の、夜間の【副】夜ごとに、毎晩,daily（毎日の）や weekly（毎週の）の夜版で、「毎晩行われる」テレビニュースやルーティンなどに使われます（nightly news）。,,
4579,warren,/ˈwɔːrən/,名詞,繁殖地、過密住宅街、迷路のような場所,ウサギの巣穴が地中で複雑に繋がり合っている場所の意味から転じて、狭い小道やアパートが密集して「迷路のように入り組んだ場所」を比喩的に指します。,,
4580,lurch,/lɜːrtʃ/,動詞、名詞,【動】急に傾く、よろめく【名】急な傾き、よろめき、苦境,乗り物が急な衝撃などでガクンと「急に傾く」動作を表します。leave someone in the lurch で「人を苦境に置き去りにする、見捨てる」となります。,,
4581,spooky,/ˈspuːki/,形容詞,不気味な、お化けが出そうな、怖がりの,お化け屋敷や古い洋館のような、不気味でちょっとおどろおどろしい雰囲気を表現するカジュアルな語です（spooky house）。,,
4582,apprehensive,/ˌæprɪˈhensɪv/,形容詞,不安な、心配している、気遣っている,将来起こるかもしれない悪い出来事に対して、ビクビクと「不安や懸念を抱いている」状態を表現します（be apprehensive about...）。,,
4583,classy,/ˈklæsi/,形容詞,高級な、上品な、格好いい、一流の,洋服、インテリア、あるいは立ち振る舞いがスタイリッシュで、クラス（格・品位）が高い「上品でセンスが抜群な」様子を褒めるカジュアルな表現です。,,
4584,consummate,/ˈcɑːnsəmət/ -> /ˈkɑːnsəmət/,形容詞、動詞,【形】完璧な、至高の、極上の【動】完成させる、極める、結婚を完了させる,技術や芸術が完璧に極まっており、これ以上のレベルはないという「最高の、一流の」熟練度を指します（consummate professional）。,,
4585,glib,/ɡlɪb/,形容詞,口達者な、軽薄な、うわべだけの、ペラペラしゃべる,喋りは非常に流暢で口がうまいものの、誠実さが欠けていて「うわべだけの、軽薄で信用しにくい」お調子者の話し方を指します。,,
4586,demur,/dɪˈmɜːr/,動詞、名詞,【動】異議を唱える、反対する、ためらう【名】反対、ためらい,他人の提案や指示に対して、控えめながら「それはちょっと…」と不満を示して「異議を唱える、難色を示す」ことを表す少し硬い言葉です。,,
4587,inadvertently,/ˌɪnədˈvɜːrtəntli/,副詞,うっかり、不注意に、知らずに、意図せず,悪意や意図があったわけではなく、単なる不注意やうっかりミスによって行動を起こしてしまった状況を指します（inadvertently deleted = うっかり消去した）。,,
4588,burly,/ˈbɜːrli/,形容詞,たくましい、がっしりした、大柄な,ラグビー選手やガードマンのように、体格が非常に大きくて筋肉質、男らしく「がっしりとたくましい」人物の体を指します。,,
4589,ragged,/ˈræɡɪd/,形容詞,ぼろぼろの、衣服がすり切れた、ギザギザの、不揃いな,長年着古して糸がほつれたり破れたりしている「ボロボロの（ragged clothes）」のほか、息が激しく乱れている状態（breath is ragged）を指します。,,
4590,clueless,/ˈkluːləs/,形容詞,手がかりのない、全く知らない、無知な、途方に暮れた,手がかり（clue）がない（-less）ことから、周囲の状況を全く分かっておらず、完全に「チンプンカンプンで困惑している」様子を表します（be clueless about...）。,,
4591,fetal,/ˈfiːtl/,形容詞,胎児の、胎児に関する,お腹の中の赤ちゃんに例えて、寒さや腹痛で体を丸める姿勢を「胎児の姿勢（fetal position）」と呼びます。,,
4592,rife,/raɪf/,形容詞,はびこっている、蔓延している、〜に満ちている,好ましくない不祥事、噂、あるいは不正行為などが、社会やコミュニティ全体に「はびこって満ちあふれている」不穏な様子を指します（corruption was rife）。,,
4593,depose,/dɪˈpoʊz/,動詞,免職する、退位させる、失脚させる、証言する,国王や大統領などの権力者を、その高い地位から強引に「引きずり下ろして退位・失脚させる」ことを意味します。,,
4594,indelible,/ɪnˈdeləbl/,形容詞,消せない、洗い落とせない、いつまでも残る,油性ペン（indelible ink）のほか、つらい体験が心に「生涯消えない深い印象を残す（indelible impression）」という際にも使われます。,,
4595,proprietary,/prəˈpraɪəteri/,形容詞、名詞,【形】独自の、所有（権）のある、秘密の【名】所有者、専売薬,企業が特許や独占権を持っており、ライバルが真似できない「独自の・独占的な」規格や技術を指します（proprietary software）。,,
4596,impeach,/ɪmˈpiːtʃ/,動詞,弾劾（だんがい）する、告発する、疑惑を呈する,大統領や裁判官などの公的な高位職が不正を働いた際、議会が公式に罷免を求めて「弾劾・告発手続き（impeachment）」にかけることを意味します。,,
4597,glossy,/ˈɡlɔːsi/,形容詞、名詞,【形】光沢のある、艶やかな【名】艶出し写真、光沢紙,写真の印刷紙やパンフレットがピカピカと光を反射する「光沢のある（glossy paper）」のほか、手入れの行き届いた髪の毛を指します。,,
4598,leach,/liːtʃ/,動詞、名詞,【動】にじみ出る、浸出する、濾過する【名】浸出、濾過器,土壌に雨水が染み込むことで、そこに含まれる農薬やミネラル成分が地下水へと「にじみ出て流される」自然の浸出プロセスを指します。,,
